iter	Passed	Remaining
582	2790	1995
583	2795	1991
584	2799	1985
585	2803	1980
586	2807	1975
587	2812	1970
588	2817	1965
589	2821	1960
590	2825	1955
591	2830	1950
592	2834	1945
593	2838	1940
594	2843	1935
595	2847	1930
596	2852	1925
597	2856	1920
598	2860	1915
599	2865	1910
600	2869	1905
601	2873	1900
602	2878	1895
603	2882	1890
604	2887	1885
605	2891	1880
606	2896	1875
607	2900	1870
608	2905	1865
609	2909	1860
610	2914	1855
611	2918	1850
612	2922	1845
613	2927	1840
614	2931	1835
615	2935	1829
616	2940	1825
617	2944	1820
618	2949	1815
619	2953	1810
620	2957	1805
621	2962	1800
622	2966	1795
623	2971	1790
624	2976	1785
625	2980	1780
626	2986	1776
627	2991	1771
628	2995	1766
629	3000	1762
630	3004	1757
631	3009	1752
632	3014	1747
633	3020	1743
634	3025	1739
635	3030	1734
636	3035	1729
637	3040	1725
638	3045	1720
639	3051	1716
640	3056	1712
641	3062	1707
642	3067	1703
643	3072	1698
644	3077	1693
645	3082	1688
646	3087	1684
647	3092	1679
648	3096	1674
649	3102	1670
650	3106	1665
651	3111	1660
652	3115	1655
653	3120	1650
654	3125	1646
655	3130	1641
656	3136	1637
657	3140	1632
658	3147	1628
659	3152	1624
660	3158	1619
661	3163	1615
662	3168	1610
663	3174	1606
664	3179	1601
665	3183	1596
666	3187	1591
667	3192	1586
668	3196	1581
669	3201	1576
670	3206	1572
671	3210	1567
672	3214	1562
673	3219	1557
674	3223	1552
675	3228	1547
676	3232	1542
677	3236	1537
678	3241	1532
679	3245	1527
680	3249	1522
681	3253	1517
682	3258	1512
683	3262	1507
684	3266	1502
685	3270	1497
686	3275	1492
687	3279	1487
688	3283	1482
689	3288	1477
690	3292	1472
691	3296	1467
692	3301	1462
693	3305	1457
694	3309	1452
695	3314	1447
696	3319	1442
697	3323	1438
698	3328	1433
699	3333	1428
700	3337	1423
701	3342	1418
702	3346	1413
703	3351	1409
704	3356	1404
705	3360	1399
706	3365	1394
707	3369	1389
708	3373	1384
709	3379	1380
710	3383	1375
711	3388	1370
712	3392	1365
713	3396	1360
714	3401	1355
715	3405	1350
716	3409	1345
717	3414	1340
718	3418	1336
719	3422	1330
720	3427	1326
721	3431	1321
722	3435	1316
723	3440	1311
724	3444	1306
725	3448	1301
726	3453	1296
727	3457	1291
728	3462	1287
729	3466	1282
730	3471	1277
731	3476	1272
732	3481	1268
733	3486	1263
734	3491	1258
735	3496	1254
736	3501	1249
737	3507	1245
738	3512	1240
739	3516	1235
740	3521	1230
741	3526	1226
742	3530	1221
743	3535	1216
744	3539	1211
745	3543	1206
746	3547	1201
747	3551	1196
748	3555	1191
749	3560	1186
750	3564	1181
751	3568	1176
752	3572	1172
753	3577	1167
754	3581	1162
755	3585	1157
756	3589	1152
757	3594	1147
758	3598	1142
759	3602	1137
760	3607	1132
761	3611	1128
762	3616	1123
763	3620	1118
764	3625	1113
765	3630	1109
766	3634	1104
767	3639	1099
768	3644	1094
769	3648	1089
770	3652	1084
771	3657	1080
772	3659	1074
773	3663	1069
774	3668	1064
775	3672	1060
776	3676	1055
777	3680	1050
778	3685	1045
779	3689	1040
780	3693	1035
781	3698	1030
782	3702	1026
783	3707	1021
784	3711	1016
785	3716	1011
786	3720	1006
787	3724	1002
788	3728	997
789	3733	992
790	3737	987
791	3742	982
792	3746	977
793	3751	973
794	3755	968
795	3759	963
796	3763	958
797	3768	953
798	3772	949
799	3777	944
800	3782	939
801	3786	934
802	3790	930
803	3795	925
804	3799	920
805	3803	915
806	3807	910
